,# pairs,# pairs potential,,Description,Further processing
Bible,38538,"~5k more from section title, etc",,,
Lotsawa House interlaced,35935(32130 are verses),,,"Buddhist text translation collection. Mainly verses, so the meaning may not be very well aligned.",
Lotsawa House non-interlaced,33272(verses unclear),,,Buddhist text translation collection. Aligned using hunalign,
Translatewiki.net,1416,NA,,UI message translation for several softwares including MediaWiki (Wikipedia). Link: https://translatewiki.net/wiki/Special:LanguageStats?language=bo&suppressempty=1&x=D,Need to remove placeholders or fill it
Latse-Camille,2365 Paragraph +,,,,
Latse-Dragon Thunder,1503 Paragraph + ,,,,
Latse-Night,1112 Paragraph + ,,,,
84000 Translation memory,42608,,,,
